"Tag Number","Gender","Date of Birth","Breed","Date Moved In","TB Test Date"
"IE251289920763","MALE","09/03/2016","AAX","","29/06/2017"
"IE251289930764","FEMALE","09/03/2016","AAX","","29/06/2017"
"IE251289940765","FEMALE","10/03/2016","AAX","","29/06/2017"
"IE251289950766","FEMALE","10/03/2016","AAX","","29/06/2017"
"IE251289960767","MALE","12/03/2016","AAX","","29/06/2017"
"IE251289970768","MALE","12/03/2016","AAX","","29/06/2017"
"IE251289980769","MALE","13/03/2016","AAX","","29/06/2017"
"IE251289910770","FEMALE","15/03/2016","AAX","","29/06/2017"
"IE251289920771","FEMALE","15/03/2016","AAX","","29/06/2017"
"IE251289930772","MALE","16/03/2016","AAX","","29/06/2017"
"IE251289940773","FEMALE","17/03/2016","AAX","","29/06/2017"
"IE251289950774","MALE","17/03/2016","AAX","","29/06/2017"
"IE251289960775","MALE","18/03/2016","AAX","","29/06/2017"
"IE251289970776","MALE","22/03/2016","AAX","","29/06/2017"
"IE251289980777","FEMALE","24/03/2016","AAX","","29/06/2017"
"IE251289990778","MALE","24/03/2016","AAX","","29/06/2017"
"IE251289910779","FEMALE","25/03/2016","AAX","","29/06/2017"
"IE251289930780","MALE","01/04/2016","AAX","","29/06/2017"
"IE251289940781","MALE","01/04/2016","AAX","","29/06/2017"
"IE251289950782","FEMALE","09/04/2016","AAX","","29/06/2017"
"IE251289960783","FEMALE","02/04/2016","AAX","","29/06/2017"
"IE251289970784","MALE","02/05/2016","AAX","","29/06/2017"
"IE251289980785","FEMALE","09/06/2016","AAX","","29/06/2017"
"IE251289990786","FEMALE","09/06/2016","AAX","","29/06/2017"
"IE251289930789","FEMALE","25/02/2017","AAX","","29/06/2017"
"IE251289950790","MALE","26/02/2017","AAX","","29/06/2017"
"IE251289960791","MALE","26/02/2017","AAX","","29/06/2017"
"IE251289970792","MALE","26/02/2017","AAX","","29/06/2017"
"IE251289980793","FEMALE","04/03/2017","AAX","","29/06/2017"
"IE251360641576","FEMALE","28/05/2013","LMX","01/04/2015","29/06/2017"
"IE281166520192","FEMALE","21/05/2010","LM","12/04/2012","29/06/2017"
"IE321501050283","FEMALE","03/04/2009","LMX","28/08/2010","29/06/2017"
"IE341195531156","FEMALE","08/12/2013","LMX","01/04/2015","29/06/2017"
"IE361397520360","FEMALE","16/03/2005","CHX","10/08/2007","29/06/2017"
